Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
1,35-44,Male,Western Expat,Abu Dhabi,Self-employed/Business owner,"Above 75,000",Bachelor's Degree,"Married/Partner, with children (under 12)",2-3 times per week,91,1-2 hours,"Free WiFi|Relaxation and ""me-time""",Afternoon (3-6 PM),Mostly with company,Rare reader (few times a year),1,"Audiobooks|E-books (Kindle, tablets)|Newspapers",None,"Free online resources|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",20,"Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Tea,Bookshelves surrounding|Greenery/plants|Minimalist decor|Natural lighting,"Desserts (cakes, brownies)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options","Yes, in UAE","Cozy, comfortable ambiance|Kids' reading corner",Membership for book borrowing (take home),1,2,2,3,3,1,1,1,80,244,Maybe,250,36-50 AED,4,1,2,5,5,Reading books|Social media browsing|Traveling,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Variety seeker (always try new places),3,Probably will visit,Once a month,Probably yes,Near universities/schools,Not enough time to utilize,N/A,N/A
2,18-24,Female,Arab Expat,Abu Dhabi,Student,"10,001 - 20,000",High School or below,"Single, living with roommates",Rarely/Never,27,Less than 30 minutes (quick coffee),Work/study in a different environment,Afternoon (3-6 PM),Always with company,Monthly reader (few times a month),8,"E-books (Kindle, tablets)|Online articles/blogs",Children's/Young Adult|Fiction - Mystery/Thriller,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Public libraries",70,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)","Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Soft background music","Breakfast items|Pastries (croissants, muffins)","No, but interested",Ability to purchase books|Access to large book collection|Community of like-minded people|Instagram-worthy aesthetics,Combination of above options,2,3,2,2,3,2,3,4,25,48,Maybe,170,10-20 AED,2,1,2,5,4,Outdoor activities/sports|Socializing with friends/family|Traveling,Somewhat extroverted,Important (consider when possible),Fast follower (adopt after some research),Variety seeker (always try new places),6,Probably will visit,Once a month,Definitely yes,Mixed-use developments,Already have similar options|Limited book selection,N/A,N/A
3,25-34,Female,South Asian,Dubai,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, no children",4-6 times per week,40,1-2 hours,Social meetings with friends/colleagues,Lunch time (12-3 PM),Mostly alone,Occasional reader (1-2 times per week),15,Audiobooks|Online articles/blogs,Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Other,Free online resources|Purchase from bookstores,64,"Arabic/Turkish Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Hot coffee,"Comfortable seating (sofas, armchairs)|Minimalist decor|Modern/contemporary decor|Outdoor seating option|Vintage/classic decor","Pastries (croissants, muffins)|Salads","Yes, in UAE",Access to large book collection|Community of like-minded people|Multilingual book collection|Quiet environment for reading|Work/study-friendly environment,Combination of above options,3,2,1,4,2,4,2,2,39,81,Maybe,347,10-20 AED,2,1,3,4,3,Outdoor activities/sports|Social media browsing|Traveling,Somewhat introverted,Important (consider when possible),Mainstream (adopt when widely accepted),Very loyal (stick to favorites),7,Probably will visit,2-3 times per month,Probably yes,Beach/waterfront locations|Near universities/schools,Price might be too high,N/A,N/A
4,25-34,Female,South Asian,Dubai,Part-time employed,"5,000 - 10,000",Bachelor's Degree,"Single, living alone",Once a week,20,1-2 hours,Business meetings,Afternoon (3-6 PM)|Evening (6-9 PM),Mostly with company,Daily reader (read every day),50,Magazines|Physical books (paperback/hardcover),Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology|Other|Religious/Spiritual,Borrow from friends/family,135,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Iced coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Individual reading nooks/pods|Vintage/classic decor","Light snacks (cookies, biscuits)|Sandwiches/Wraps|Vegan/Healthy options","No, but interested","Ability to purchase books|Book clubs/reading groups|Community of like-minded people|Cozy, comfortable ambiance|Instagram-worthy aesthetics|Quiet environment for reading",Combination of above options,4,3,2,3,4,1,4,5,20,34,Maybe,177,0 (Not interested),3,3,4,5,1,Learning new skills/courses|Social media browsing|Watching movies/series,Somewhat introverted,Very important (influences all decisions),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Definitely will visit,Multiple times per week,Maybe,Residential communities|Shopping malls,Limited book selection,N/A,N/A
5,35-44,Female,South Asian,Sharjah,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Extended family household,Once a month,40,More than 3 hours,Social meetings with friends/colleagues,Weekends only,Both equally,Monthly reader (few times a month),5,Magazines|Newspapers,Fiction - Literary|Fiction - Science Fiction/Fantasy,"Online purchase (Amazon, Noon, etc.)",55,Hot Chocolate|Non-caffeinated beverages only,Hot coffee,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Individual reading nooks/pods|Outdoor seating option|Vintage/classic decor","No food, just beverages|Traditional Arabic sweets|Vegan/Healthy options","Yes, in UAE",Ability to borrow books|Quiet environment for reading,"Book exchange (bring one, take one)",3,2,4,3,3,2,1,3,36,56,Probably not,0,0 (Not interested),2,2,4,5,3,Learning new skills/courses|Outdoor activities/sports|Reading books,Very extroverted (thrive in social settings),Important (consider when possible),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),5,Might visit,Once a month,Probably yes,Beach/waterfront locations|Business districts,Coffee quality concerns|Distance/location inconvenience|Price might be too high,N/A,N/A
6,35-44,Female,Arab Expat,Dubai,Full-time employed,"Above 75,000",Master's Degree,"Married/Partner, with children (under 12)",Once a week,100,30 minutes - 1 hour,"Business meetings|Relaxation and ""me-time""",Evening (6-9 PM)|Lunch time (12-3 PM),Mostly with company,Regular reader (3-5 times per week),29,"Audiobooks|E-books (Kindle, tablets)|Newspapers",Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Business/Self-Help|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)",100,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Hot chocolate,"Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Modern/contemporary decor|Outdoor seating option|Soft background music","Breakfast items|Pastries (croissants, muffins)","No, but interested",Book clubs/reading groups|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Free browsing/reading in-cafe only,4,3,2,5,5,4,4,2,80,224,Definitely not,0,10-20 AED,4,2,1,5,1,Arts & crafts|Learning new skills/courses|Outdoor activities/sports,Somewhat introverted,Not a priority,Late adopter (adopt when necessary),Very loyal (stick to favorites),7,Probably will visit,Multiple times per week,Probably yes,Mixed-use developments,No major concerns,N/A,N/A
7,45-54,Female,Arab Expat,Sharjah,Full-time employed,"20,001 - 35,000",Other,"Married/Partner, with children (teenagers/adults)",2-3 times per month,32,2-3 hours,"Food quality|Relaxation and ""me-time""",Mid-morning (9 AM-12 PM),Both equally,Monthly reader (few times a month),11,Online articles/blogs,Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Poetry|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)",41,"Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)|Hot chocolate","Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Fireplace or warm elements|Modern/contemporary decor|Outdoor seating option|Vintage/classic decor","Desserts (cakes, brownies)|International cuisine options|No food, just beverages","No, but interested",Author events/book signings|Book exchange program|Quality coffee and food,Membership for book borrowing (take home),2,4,2,4,4,1,5,2,30,68,Maybe,242,21-35 AED,3,1,3,4,1,Outdoor activities/sports|Reading books|Traveling,Very introverted (prefer solitude),Not a priority,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),5,Probably won't visit,Once every few months,Probably not,Street retail/standalone|Tourist areas,Coffee quality concerns|May be too crowded/noisy|Prefer buying books separately,N/A,N/A
8,18-24,Female,Arab Expat,Dubai,Part-time employed,"5,000 - 10,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Rarely/Never,24,2-3 hours,"Coffee/beverages quality|Relaxation and ""me-time""",Lunch time (12-3 PM),Mostly alone,Monthly reader (few times a month),5,Newspapers|Online articles/blogs,Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,Free online resources|Purchase from bookstores,20,"Filter/Drip Coffee|Hot Chocolate|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Greenery/plants|Modern/contemporary decor|Vintage/classic decor","Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets","No, but interested",Ability to borrow books|Access to large book collection|Quality coffee and food|Quiet environment for reading,Digital library access + physical cafe,3,1,4,3,3,2,2,3,23,41,"Yes, definitely",188,0 (Not interested),4,4,4,4,2,Arts & crafts|Traveling|Watching movies/series,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),1,Definitely won't visit,Rarely/never,Maybe,Residential communities|Street retail/standalone,Coffee quality concerns|Limited book selection,N/A,N/A
9,25-34,Male,GCC National,Abu Dhabi,Full-time employed,Prefer not to say,Other,"Single, living alone",Once a week,37,30 minutes - 1 hour,Coffee/beverages quality,Evening (6-9 PM)|Lunch time (12-3 PM),Mostly alone,Rare reader (few times a year),1,Newspapers|Online articles/blogs,None,Free online resources,1,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot coffee,"Comfortable seating (sofas, armchairs)|Minimalist decor|Modern/contemporary decor|Natural lighting|Quiet/Silent zones|Vintage/classic decor","International cuisine options|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Ability to borrow books|Ability to purchase books|Quality coffee and food|Quiet environment for reading,"Book exchange (bring one, take one)",3,1,2,1,1,3,3,2,34,83,"Yes, definitely",129,0 (Not interested),1,3,5,3,2,Learning new skills/courses|Social media browsing|Working on personal projects,Somewhat introverted,Somewhat important,Early adopter (love new tech),Variety seeker (always try new places),6,Probably will visit,Once every few months,Maybe,Mixed-use developments|Street retail/standalone,No major concerns,N/A,N/A
10,18-24,Male,South Asian,Ras Al Khaimah,Student,"Less than 5,000",Bachelor's Degree,"Single, living with roommates",Once a week,10,30 minutes - 1 hour,Social meetings with friends/colleagues|Work/study in a different environment,Evening (6-9 PM),Mostly alone,Occasional reader (1-2 times per week),19,Online articles/blogs|Physical books (paperback/hardcover),Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Poetry,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)",16,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Fresh Juices/Smoothies","Cold beverages (juice, smoothies)",Individual reading nooks/pods|Minimalist decor|Quiet/Silent zones|Vintage/classic decor,Salads|Traditional Arabic sweets,"No, but interested","Cozy, comfortable ambiance|Quiet environment for reading|Work/study-friendly environment","Book exchange (bring one, take one)",3,1,3,2,2,5,2,2,15,20,"Yes, definitely",142,10-20 AED,1,1,3,3,2,Gaming|Learning new skills/courses|Traveling,Very introverted (prefer solitude),Somewhat important,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Definitely will visit,Once a week,Definitely yes,Beach/waterfront locations,No major concerns,N/A,N/A
